TemplateID,GreenRatio,BlueRatio,GreenRank,BlueRank
638,0.1392,0.0286,201,742
941,0.1391,0.0288,202,733
464,0.1391,0.0341,203,279
551,0.1391,0.0338,204,295
580,0.1391,0.0255,205,905
349,0.1391,0.0331,206,346
962,0.139,0.0336,207,306
506,0.139,0.0301,208,659
705,0.139,0.0199,209,991
411,0.1389,0.0315,210,512
292,0.1389,0.0206,211,985
307,0.1389,0.0303,212,641
531,0.1388,0.0264,213,881
593,0.1387,0.0314,214,523
71,0.1387,0.0296,215,685
894,0.1387,0.0309,216,579
515,0.1387,0.0353,217,202
773,0.1387,0.033,218,363
159,0.1386,0.0305,219,629
770,0.1386,0.0331,220,348
410,0.1385,0.0343,221,268
649,0.1385,0.0316,222,495
473,0.1385,0.0291,223,712
489,0.1385,0.0314,224,529
463,0.1385,0.0313,225,543
667,0.1384,0.0328,226,377
143,0.1384,0.024,227,940
116,0.1383,0.0347,228,242
436,0.1383,0.032,229,455
443,0.1383,0.035,230,227
907,0.1382,0.0328,231,378
699,0.1382,0.037,232,127
185,0.1381,0.0373,233,110
498,0.1381,0.0352,234,211
544,0.1381,0.0287,235,737
369,0.1381,0.0331,236,354
160,0.138,0.0327,237,393
660,0.138,0.0318,238,478
598,0.138,0.0319,239,463
504,0.138,0.0377,240,92
766,0.1379,0.0335,241,314
969,0.1379,0.0359,242,177
853,0.1378,0.0312,243,560
843,0.1378,0.0374,244,104
579,0.1378,0.0297,245,679
492,0.1377,0.0377,246,93
45,0.1377,0.0372,247,115
189,0.1377,0.025,248,917
603,0.1376,0.0355,249,190
844,0.1376,0.021,250,975
569,0.1376,0.0382,251,62
408,0.1376,0.0268,252,871
750,0.1376,0.0379,253,81
839,0.1375,0.0264,254,883
999,0.1375,0.0257,255,902
560,0.1375,0.0378,256,88
992,0.1375,0.0377,257,96
432,0.1375,0.0345,258,253
246,0.1374,0.0307,259,604
764,0.1374,0.0332,260,345
290,0.1374,0.0345,261,252
39,0.1374,0.0321,262,443
394,0.1373,0.0389,263,46
334,0.1373,0.0322,264,438
683,0.1373,0.0215,265,970
480,0.1372,0.0239,266,941
209,0.1372,0.0377,267,95
474,0.1371,0.0322,268,437
325,0.1371,0.0302,269,653
502,0.1371,0.0319,270,466
632,0.1371,0.0337,271,300
374,0.137,0.0259,272,896
973,0.137,0.0362,273,162
72,0.1369,0.034,274,288
748,0.1369,0.0333,275,330
684,0.1369,0.0381,276,72
146,0.1369,0.0305,277,626
987,0.1368,0.029,278,716
477,0.1368,0.0306,279,618
696,0.1368,0.0219,280,966
7,0.1367,0.033,281,362
419,0.1367,0.0348,282,234
859,0.1367,0.0308,283,592
472,0.1367,0.0334,284,328
585,0.1367,0.035,285,226
646,0.1366,0.0303,286,646
101,0.1366,0.0346,287,245
865,0.1366,0.0351,288,220
269,0.1366,0.0297,289,682
670,0.1366,0.0229,290,957
675,0.1365,0.0277,291,810
15,0.1365,0.0287,292,740
720,0.1365,0.0264,293,880
265,0.1365,0.0265,294,879
220,0.1364,0.0354,295,198
507,0.1364,0.0325,296,416
682,0.1364,0.0294,297,706
250,0.1364,0.0307,298,609
623,0.1364,0.0285,299,751
328,0.1364,0.0217,300,967
59,0.1364,0.0306,301,616
248,0.1364,0.0271,302,844
110,0.1363,0.0333,303,331
41,0.1363,0.0279,304,795
681,0.1363,0.0329,305,367
595,0.1363,0.0266,306,876
785,0.1363,0.0331,307,349
3,0.1363,0.0314,308,530
386,0.1363,0.0376,309,99
339,0.1362,0.0316,310,504
495,0.1362,0.0294,311,700
98,0.1362,0.0343,312,263
509,0.1361,0.0325,313,413
562,0.1361,0.0289,314,729
523,0.1361,0.038,315,78
731,0.1361,0.0384,316,51
671,0.1361,0.0283,317,777
75,0.1361,0.0384,318,54
668,0.136,0.0283,319,771
398,0.136,0.0376,320,98
634,0.136,0.0281,321,783
621,0.136,0.0303,322,639
88,0.1359,0.0348,323,237
767,0.1359,0.0313,324,545
721,0.1359,0.0382,325,66
355,0.1358,0.0378,326,85
219,0.1358,0.0283,327,773
222,0.1358,0.022,328,965
